t,x,y,z,roll_deg,pitch_deg,yaw_deg,F1,F2,F3,F4,servo1,servo2,servo3,servo4,Fhat_x,Fhat_y,Fhat_z,Mhat_x,Mhat_y,Mhat_z,dist_x,dist_y,dist_z,dob_on,arm_j1,arm_j2,arm_j3,arm_j4,x_c
1.002500,0.001819,0.000016,0.276133,-0.003220,0.377834,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815527,4.582499,0.000335,-0.000746,0.083507
1.005000,0.001820,0.000016,0.276133,-0.003220,0.377982,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815519,4.582476,0.000335,-0.000747,0.083507
1.007500,0.001821,0.000016,0.276133,-0.003221,0.378133,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815508,4.582452,0.000335,-0.000747,0.083507
1.010000,0.001821,0.000016,0.276133,-0.003221,0.378285,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815493,4.582426,0.000335,-0.000747,0.083507
1.012500,0.001822,0.000016,0.276133,-0.003222,0.378439,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815475,4.582399,0.000335,-0.000747,0.083507
1.015000,0.001823,0.000016,0.276133,-0.003223,0.378594,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815455,4.582370,0.000335,-0.000747,0.083507
1.017500,0.001823,0.000016,0.276133,-0.003224,0.378749,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815431,4.582341,0.000335,-0.000747,0.083507
1.020000,0.001824,0.000016,0.276133,-0.003225,0.378904,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815405,4.582310,0.000335,-0.000747,0.083507
1.022500,0.001825,0.000016,0.276132,-0.003226,0.379060,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815376,4.582279,0.000335,-0.000747,0.083507
1.025000,0.001825,0.000016,0.276132,-0.003226,0.379214,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815344,4.582246,0.000335,-0.000747,0.083507
1.027500,0.001826,0.000016,0.276132,-0.003228,0.379368,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815310,4.582213,0.000335,-0.000747,0.083507
1.030000,0.001827,0.000016,0.276132,-0.003229,0.379520,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815275,4.582180,0.000335,-0.000747,0.083507
1.032500,0.001828,0.000016,0.276132,-0.003230,0.379670,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815237,4.582145,0.000335,-0.000748,0.083507
1.035000,0.001828,0.000016,0.276132,-0.003231,0.379818,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815197,4.582111,0.000335,-0.000748,0.083507
1.037500,0.001829,0.000016,0.276132,-0.003232,0.379964,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815156,4.582076,0.000335,-0.000748,0.083507
1.040000,0.001830,0.000016,0.276131,-0.003233,0.380107,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815113,4.582041,0.000335,-0.000748,0.083507
1.042500,0.001830,0.000016,0.276131,-0.003234,0.380247,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815068,4.582006,0.000335,-0.000748,0.083507
1.045000,0.001831,0.000016,0.276131,-0.003235,0.380383,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815023,4.581970,0.000335,-0.000748,0.083507
1.047500,0.001832,0.000016,0.276131,-0.003237,0.380517,0.000282,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.814976,4.581935,0.000335,-0.000748,0.083507
